"id","active","color","duration_in_days","popup_field_ids/id","domain","field_id/id","from_today","group_ids/id","model_id/id","name","search_option"
"__export__.popup_reminder_19","True","","0","purchase.field_purchase_order_amount_total,purchase.field_purchase_order_minimum_planned_date,purchase.field_purchase_order_name,purchase.field_purchase_order_partner_id,purchase.field_purchase_order_partner_ref","[['state', '=', 'approved'], ['currency_id', 'not ilike', 'THB']]","purchase.field_purchase_order_date_order","False","purchase.group_purchase_manager,purchase.group_purchase_user","l10n_th_amount_text.model_purchase_order","PO in Process (Overseas)","Everyday"
"__export__.popup_reminder_21","True","","0","account.field_account_invoice_amount_total,account.field_account_invoice_currency_id,account.field_account_invoice_date_due,account.field_account_invoice_internal_number,account.field_account_invoice_partner_id,account.field_account_invoice_supplier_invoice_number","[['state', '=', 'open'], ['currency_id', 'not ilike', 'THB']]","account.field_account_invoice_date_due","False","product_price_visible.group_product_visible,purchase.group_purchase_manager,purchase.group_purchase_user","account.model_account_invoice","Supplier Invoices in Process (Overseas)","Everyday"
"__export__.popup_reminder_22","True","","0","crm_claim.field_crm_claim_date_action_next,crm_claim.field_crm_claim_date_deadline,crm_claim.field_crm_claim_display_name,crm_claim.field_crm_claim_name,crm_claim_adjust_cft.field_crm_claim_opportunity_id,crm_claim.field_crm_claim_partner_id,crm_claim_adjust_cft.field_crm_claim_reference,crm_claim.field_crm_claim_user_id","[['stage_id', '=', 'In Warranty Coverage']]","crm_claim.field_crm_claim_create_date","False","purchase.group_purchase_manager,purchase.group_purchase_user","crm_claim.model_crm_claim","Unsolved Claims (FA)","Everyday"
"__export__.popup_reminder_23","True","","0","stock.field_stock_picking_min_date,stock.field_stock_picking_name,stock.field_stock_picking_partner_id","[['state', 'in', ['assigned', 'partially_available']], ['picking_type_id', '=', 1], ['backorder_id', '!=', False]]","stock.field_stock_picking_date","False","stock.group_stock_manager,stock.group_stock_user","claim_from_delivery.model_stock_picking","Back Order in Comforta: Receipt","Everyday"
"__export__.popup_reminder_24","True","","0","stock.field_stock_picking_min_date,stock.field_stock_picking_name,stock.field_stock_picking_partner_id","[['state', 'in', ['assigned', 'partially_available']], ['picking_type_id', '=', 5], ['backorder_id', '!=', False]]","stock.field_stock_picking_date","False","","claim_from_delivery.model_stock_picking","Back Order in Comforta: Pick","Everyday"
"__export__.popup_reminder_25","True","","0","crm_claim.field_crm_claim_date_action_next,crm_claim.field_crm_claim_date_deadline,crm_claim.field_crm_claim_display_name,crm_claim.field_crm_claim_name,crm_claim_adjust_cft.field_crm_claim_opportunity_id,crm_claim.field_crm_claim_partner_id,crm_claim_adjust_cft.field_crm_claim_reference,crm_claim.field_crm_claim_user_id","[['stage_id', '=', 'Supplier supports the warranty']]","crm_claim.field_crm_claim_date_deadline","False","stock.group_stock_manager,stock.group_stock_user","crm_claim.model_crm_claim","Unsolved Claims (ID)","Everyday"
"__export__.popup_reminder_26","True","","0","crm_claim.field_crm_claim_date_action_next,crm_claim.field_crm_claim_date_deadline,crm_claim.field_crm_claim_display_name,crm_claim.field_crm_claim_name,crm_claim_adjust_cft.field_crm_claim_opportunity_id,crm_claim.field_crm_claim_partner_id,crm_claim_adjust_cft.field_crm_claim_reference,crm_claim.field_crm_claim_user_id","[['stage_id', '=', 'To be refunded']]","crm_claim.field_crm_claim_date_deadline","False","account.group_account_user,account.group_account_manager,account.group_account_invoice","crm_claim.model_crm_claim","Unsolved Claims (AD)","Everyday"
"__export__.popup_reminder_27","True","","90","account.field_account_invoice_amount_total,account.field_account_invoice_date_due,account.field_account_invoice_number,account.field_account_invoice_partner_id","[['state', '=', 'open']]","account.field_account_invoice_date_due","False","base.group_sale_salesman_all_leads,base.group_sale_salesman,model_security_adjust_cft.group_sale_salesman_team_leads","account.model_account_invoice","Unpaid Customer Invoices","Everyday"
"__export__.popup_reminder_28","True","","0","crm_claim.field_crm_claim_date_action_next,crm_claim.field_crm_claim_date_deadline,crm_claim.field_crm_claim_display_name,crm_claim.field_crm_claim_name,crm_claim_adjust_cft.field_crm_claim_opportunity_id,crm_claim.field_crm_claim_partner_id,crm_claim_adjust_cft.field_crm_claim_reference,crm_claim.field_crm_claim_stage_id_6302,crm_claim.field_crm_claim_user_id","[['stage_id', 'not ilike', 'Settled'], ['stage_id', 'not ilike', 'Rejected']]","crm_claim.field_crm_claim_date_deadline","False","base.group_sale_salesman_all_leads,base.group_sale_salesman,model_security_adjust_cft.group_sale_salesman_team_leads","crm_claim.model_crm_claim","Unsolved Claims (SD)","Everyday"
"__export__.popup_reminder_29","True","","0","crm.field_crm_lead_date_action,crm.field_crm_lead_name,crm.field_crm_lead_partner_id,crm.field_crm_lead_section_id,crm.field_crm_lead_title_action,crm.field_crm_lead_user_id","[['stage_id', 'ilike', 'Work in progress']]","crm.field_crm_lead_create_date","False","sale_group_adjust_cft.group_sale_after_service,base.group_sale_salesman_all_leads,base.group_sale_salesman,model_security_adjust_cft.group_sale_salesman_team_leads","crm.model_crm_lead","Installation Works","Everyday"
